Date_Cleaned,Asset_ID,Equipment_Type,Client_Name,Deployment_Location,Daily_Rate_NGN,Running_Hours,Fuel_Liters,Status,Maintenance_Priority
2024-06-15,NSP-7949,Rhino Boat,Chevron,Bonny Island,1449000.0,105.74,75.4,Deployed,Normal
2024-11-09,NSP-4005,Towing Winch,TotalEnergies,Bonny Island,0.0,129.39,154.23,Standby,Normal
2024-10-05,NSP-1775,Pipe Tracker,TotalEnergies,Offshore Rig Alpha,5082000.0,119.97,248.04,Deployed,Normal
2024-06-15,NSP-1995,VideoRay Pro 5 ROV,ExxonMobil,Onne FOT,3113.0,135.42,398.8,In Maintenance,Normal
2024-07-26,NSP-3027,VideoRay Pro 5 ROV,TotalEnergies,Escravos,4493.0,102.35,57.0,Deployed,Normal
2024-06-15,NSP-9996,Sub Sea ROV M8,TotalEnergies,Bonny Island,3599.0,97.61,78.6,Awaiting Repair,Normal
2024-04-02,NSP-2484,Pipe Tracker,TotalEnergies,Onne FOT,3190.0,148.21,241.68,Awaiting Repair,Normal
2025-01-22,NSP-3693,Sub Sea ROV M8,ExxonMobil,Bonny Island,2178.0,161.87068493150682,179.67,Awaiting Repair,Normal
2024-10-12,NSP-1663,Cargo Basket,TotalEnergies,Offshore Rig Alpha,3802.0,82.53,290.3,Awaiting Repair,Normal
2024-06-15,NSP-5737,VideoRay Pro 4 ROV,ExxonMobil,Offshore Rig Alpha,1791.0,99.05,178.08,Standby,Normal
2024-12-08,NSP-9004,Pipe Tracker,ExxonMobil,Milaha Barge,2207.0,111.87,159.0,In Maintenance,Normal
2024-06-15,NSP-2986,VideoRay Pro 4 ROV,TotalEnergies,Bonny Island,0.0,158.43,354.57,Awaiting Repair,Normal
2024-06-15,NSP-3049,VideoRay Pro 5 ROV,Shell (SPDC),Offshore Rig Alpha,2302.0,190.68,299.8,Awaiting Repair,Normal
2024-06-15,NSP-2648,Air Compressor 800cfm,ExxonMobil,Offshore Rig Alpha,3670.0,88.46,232.0,Awaiting Repair,Normal
